RESOLUTION:3120,2080
1753619476.939,555,1540
1753619476.955,555,1539
1753619476.955,556,1539
1753619476.97,557,1537
1753619476.97,558,1536
1753619476.97,561,1535
1753619476.986,562,1534
1753619476.986,564,1533
1753619477.002,565,1531
1753619477.002,567,1531
1753619477.017,568,1530
1753619477.017,569,1530
1753619477.033,570,1530
1753619477.147,571,1530
1753619477.191,571,1532
1753619477.191,572,1532
1753619477.226,572,1533
1753619477.238,573,1533
1753619477.27,575,1533
1753619477.285,575,1534
1753619477.301,576,1534
1753619477.301,577,1534
1753619477.332,578,1534
1753619477.332,579,1535
1753619477.348,580,1535
1753619477.379,580,1536
1753619477.379,581,1536
1753619477.395,583,1536
1753619477.395,583,1537
1753619477.41,584,1537
1753619477.426,585,1537
1753619477.426,586,1538
1753619477.442,587,1540
1753619477.442,588,1540
1753619477.457,588,1541
1753619477.457,589,1541
1753619477.473,591,1541
1753619477.473,592,1542
1753619477.488,593,1543
1753619477.504,593,1544
1753619477.504,594,1544
1753619477.522,595,1545
1753619477.532,595,1546
1753619477.538,596,1546
1753619477.556,596,1548
1753619477.574,597,1548
1753619477.576,597,1549
1753619477.583,597,1550
1753619477.599,598,1550
1753619477.615,598,1551
1753619477.63,600,1551
1753619477.646,600,1552
1753619477.646,600,1553
1753619477.646,601,1553
1753619477.661,601,1554
1753619477.677,602,1556
1753619477.677,602,1557
